Model;Instance;element;Name;Start Waiting;Start;End;Waiting Time;Process Time;Fixed Cost;Variable Cost;Resources;GetStores;PutStores
Credit Application Clerk;instance1365;intermediate;Credit Application checked;27308.100876457167;27308.100876457167;27308.100876457167;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1365;START;Credit application received;27308.100876457167;27308.100876457167;27308.100876457167;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance1364;activity;Assess application;27289.11890857274;27289.11890857274;27309.929674443905;0.0;20.810765871168616;5;20.810765871168616;Credit Officer;;
Credit Application Clerk;instance1365;activity;Send e-mail to customer;27308.100876457167;27308.100876457167;27316.817475232765;0.0;8.716598775597689;5;4.358299387798844;Clerk;;
Credit Application Clerk;instance1365;END;Customer notified;27316.817475232765;27316.817475232765;27316.817475232765;0.0;0.0;0;0;;;
Credit Application Credit Officer;instance1364;activity;Make credit offer;27309.929674443905;27309.929674443905;27317.850262932763;0.0;7.920588488858224;5;7.920588488858224;Credit Officer;;
Credit Application Credit Officer;instance1364;END;Credit application processed;27317.850262932763;27317.850262932763;27317.850262932763;0.0;0.0;0;0;;;
Credit Application Clerk;instance1366;START;Credit application received;27318.360592409437;27318.360592409437;27318.360592409437;0.0;0.0;0;0;;;
Credit Application Clerk;instance1366;activity;Check credit history;27318.360592409437;27318.360592409437;27326.93976548351;0.0;8.579173074072274;5;4.289586537036137;Clerk;;
Credit Application Credit Officer;instance1365;activity;Assess application;27308.100876457167;27308.100876457167;27328.263998494393;0.0;20.163122037225094;5;20.163122037225094;Credit Officer;;
Credit Application Clerk;instance1366;activity;Check income sources;27318.360592409437;27318.360592409437;27331.331644258713;0.0;12.971051849273987;5;6.485525924636994;Clerk;;
Credit Application Clerk;instance1366;intermediate;Credit Application checked;27331.331644258713;27331.331644258713;27331.331644258713;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1366;START;Credit application received;27331.331644258713;27331.331644258713;27331.331644258713;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance1365;activity;Make credit offer;27328.263998494393;27328.263998494393;27336.042471672794;0.0;7.778473178399734;5;7.778473178399734;Credit Officer;;
Credit Application Credit Officer;instance1365;END;Credit application processed;27336.042471672794;27336.042471672794;27336.042471672794;0.0;0.0;0;0;;;
Credit Application Clerk;instance1367;START;Credit application received;27339.184449781;27339.184449781;27339.184449781;0.0;0.0;0;0;;;
Credit Application Clerk;instance1366;activity;Send e-mail to customer;27331.331644258713;27331.331644258713;27341.9361991665;0.0;10.60455490778683;5;5.302277453893415;Clerk;;
Credit Application Clerk;instance1366;END;Customer notified;27341.9361991665;27341.9361991665;27341.9361991665;0.0;0.0;0;0;;;
Credit Application Clerk;instance1367;activity;Check credit history;27339.184449781;27339.184449781;27348.180364114978;0.0;8.99591433397573;5;4.497957166987865;Clerk;;
Credit Application Clerk;instance1367;activity;Check income sources;27339.184449781;27339.184449781;27348.54739709779;0.0;9.36294731679055;5;4.681473658395275;Clerk;;
Credit Application Clerk;instance1367;intermediate;Credit Application checked;27348.54739709779;27348.54739709779;27348.54739709779;0.0;0.0;0;0;;;Application store
Credit Application Credit Officer;instance1367;START;Credit application received;27348.54739709779;27348.54739709779;27348.54739709779;0.0;0.0;0;0;;Application store;
Credit Application Credit Officer;instance1366;activity;Assess application;27331.331644258713;27331.331644258713;27351.58938984642;0.0;20.257745587707813;5;20.257745587707813;Credit Officer;;
Credit Application Clerk;instance1368;START;Credit application received;27360.045791665318;27360.045791665318;27360.045791665318;0.0;0.0;0;0;;;
Credit Application Clerk;instance1367;activity;Send e-mail to customer;27348.54739709779;27348.54739709779;27360.530399233765;0.0;11.98300213597392;5;5.99150106798696;Clerk;;
